id,Product_name,Rating,maincateg,platform,price1,Price,Discount,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,EffectivePrice
4105,Trendy Look for Jeans and Kurta Pajama /Artificial Leather Ethnic Shoes For Men Ethnic Mule For Men  (Brown),3.6,Men,Flipkart,499,999,50.05,7,1,4,0,1,0,2,0,499.0005078125
15177,SL-138 Casuals For Women  (White),4.1,Women,Flipkart,496,625,20.64,368,68,201,79,51,11,26,1,496.0
5202,Women Tan Heels Sandal,3.9,Women,Flipkart,299,850,64.82,,,11,,2,1,3,1,299.03
8203,Bellies For Women  (Black),3.8,Women,Flipkart,280,499,43.89,3203,412,1476,614,480,224,409,1,279.98890625
2937,SPORTSTAR Men Black Sneakers,3.9,Men,Amazon,499,599,16.69,571,290,12,4,12,26,46,0,499.02689453125
14569,Women Pink Bellies Sandal,4.2,Women,Flipkart,233,799,70.84,7576,1248,4314,1799,794,268,401,0,232.98843750000003
19987,Women Red Wedges Sandal,4.1,Women,Flipkart,682,799,14.64,265,30,137,69,31,14,16,1,682.026396484375
13033,Bellies For Women  (Navy),4.2,Women,Flipkart,379,499,24.05,485,66,261,118,58,15,33,1,378.9905078125
4766,Women Pink Wedges Sandal,4.0,Women,Flipkart,499,1499,66.71,156,28,78,37,21,7,13,0,499.017109375
20029,Men Blue Sandal,4.1,Men,Flipkart,302,309,2.27,1117,165,599,271,125,43,79,1,301.9857000732422
17737,Jutis For Women  (Multicolor),3.7,Women,Flipkart,244,499,51.1,62,10,30,10,5,7,10,0,244.011015625
17245,Shoes For Girls Stylish Latest Fashion Sports Casual Canvas Sneakers Sneakers For Women  (Black),4.0,Women,Flipkart,399,749,46.73,246,28,128,53,32,6,27,1,398.9923046875
6807,Sneakers For Women  (White),4.2,Women,Flipkart,549,999,45.05,195,32,116,25,31,7,12,1,548.9505078125001
